Month,kufri snowfall: (India)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,7
2011-04,0
2011-05,0
2011-06,10
2011-07,14
2011-08,0
2011-09,0
2011-10,15
2011-11,0
2011-12,26
2012-01,18
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,4
2012-10,0
2012-11,0
2012-12,33
2013-01,18
2013-02,7
2013-03,0
2013-04,3
2013-05,12
2013-06,9
2013-07,0
2013-08,6
2013-09,0
2013-10,15
2013-11,8
2013-12,25
2014-01,23
2014-02,0
2014-03,3
2014-04,6
2014-05,0
2014-06,3
2014-07,3
2014-08,5
2014-09,0
2014-10,5
2014-11,9
2014-12,55
2015-01,22
2015-02,11
2015-03,8
2015-04,3
2015-05,0
2015-06,8
2015-07,0
2015-08,2
2015-09,5
2015-10,7
2015-11,10
2015-12,64
2016-01,43
2016-02,16
2016-03,11
2016-04,5
2016-05,9
2016-06,6
2016-07,0
2016-08,0
2016-09,6
2016-10,6
2016-11,12
2016-12,67
2017-01,56
2017-02,15
2017-03,12
2017-04,9
2017-05,12
2017-06,11
2017-07,3
2017-08,8
2017-09,10
2017-10,12
2017-11,27
2017-12,100
2018-01,63
2018-02,20
2018-03,11
2018-04,6
2018-05,13
2018-06,10
2018-07,2
2018-08,2
2018-09,7
2018-10,8
2018-11,26
2018-12,61
2019-01,51
2019-02,19
2019-03,10
2019-04,9
2019-05,9
2019-06,15
2019-07,5
2019-08,2
2019-09,5
2019-10,12
2019-11,33
2019-12,87
